Jurisdiction,Year,Population,Murder,Rape,Robbery,AggAssault,BreakAndEnter,LarcenyTheft,MotorVehicleTheft,GrandTotal,PercentChange,ViolentCrimeTotal,ViolentCrimePercent,ViolentCrimePercentChange,PropertyCrimeTotal,PropertyCrimePercent,PropertyCrimePercentChange,OverallCrimeRatePer100k,OverallPercentChangePer100k,ViolentCrimeRatePer100k,ViolentCrimeRatePercentChangePer100k,PropertyCrimeRatePer100k,PropertyCrimeRatePercentChangePer100k,MurderPer100k,RapePer100k,RobberyPer100k,AggAssaultPer100k,BreakAndEnterPer100k,LarcenyTheftPer100k,MotorVehicleTheftPer100k,MurderRatePercentChangePer100k,RapeRatePercentChangePer100k,RobberyRatePercentChangePer100k,AggAssaultRatePercentChangePer100k,BreakAndEnterRatePercentChangePer100k,LarcenyTheftRatePercentChangePer100k,MotorVehicleTheftRatePercentChangePer100k
Allegany County,1976,83923,2,2,24,59,581,1384,73,2125,-8.8,-0.48468919222465096,4.1,-38.7,-0.44449564919517376,95.9,-6.8,-0.6313902158342188,-13.4,-1.3397320118687057,-41.8,-0.48235358129036165,-11.6,-0.6192014520368083,-1.7859386500158685,-0.6061744509821243,-1.3945404581193315,-0.1729764518967874,-0.5124251439829308,-0.6562761381537491,-36.7,-62.0,13.9,-50.9,-17.6,-7.8,-25.5
Allegany County,1977,82102,3,7,32,85,592,1390,102,2211,4.0,-0.464669087139398,5.7,46.0,-0.4401707805368658,94.3,2.3,-0.5300231070176961,6.4,-1.1294562358223743,49.2,-0.400688549247374,4.5,-0.3213771536477111,-1.3321393169240061,-0.5081522240221119,-1.2060169525173214,-0.09583124188176828,-0.45994593744465734,-0.44376730969446077,53.3,257.8,36.3,47.3,4.2,2.7,42.8
Allegany County,1978,79966,1,2,18,81,539,1390,100,2131,-3.6,-0.4771816528176811,4.8,-19.7,-0.4453418191500601,95.2,-2.6,-0.5477261260217003,-1.0,-1.2411910109371898,-17.5,-0.40143163416132294,4.5,-0.8712066275968137,-1.7784993166864935,-0.6636682571798237,-1.2185094739728761,-0.22199580409383055,-0.40591267695422545,-0.43862596707044577,-65.8,-70.7,-42.2,-2.2,-6.5,2.7,0.7
Allegany County,1979,79721,1,7,18,84,502,1611,99,2322,9.0,-0.4731776318006305,4.7,7.8,-0.4281363634007046,95.3,9.0,-0.3916119584347873,9.3,-1.1983112448414672,8.2,-0.2250232755898469,9.4,-0.8712066275968137,-1.3098213169358817,-0.6627257357667468,-1.1952279567147965,-0.3406601375544325,-0.06808525627732226,-0.44376730969446077,0.3,251.1,0.3,4.0,-6.6,16.3,-0.7
Allegany County,1980,80461,2,12,26,79,541,1706,108,2474,6.5,-0.4686731081564486,4.8,8.2,-0.4146916630063995,95.2,6.5,-0.2894888488067055,5.6,-1.157493005961885,7.2,-0.11192575168681929,5.5,-0.5962918906222624,-0.8560219838440193,-0.5713011586982737,-1.236112572387522,-0.226281649094665,0.0508596423686507,-0.3866412805387382,98.2,69.9,43.1,-6.8,6.8,4.9,8.1
Allegany County,1981,81781,11,13,24,101,539,1697,88,2473,6.5,-0.4536580293425089,6.0,25.2,-0.4176062484065635,94.0,-1.3,-0.32155588323032896,-1.7,-1.0160722389346468,23.2,-0.17523658635526845,-2.9,1.9237598649777912,-0.7816286505502714,-0.599576801090585,-1.0924485756486404,-0.2619077356641007,-0.0031736181217814413,-0.5385965180929605,441.1,6.6,-9.2,25.8,-2.0,-2.1,-19.8
Allegany County,1982,81858,1,18,18,80,447,1570,55,2189,-11.5,-0.46967411341071125,5.3,-21.5,-0.44129900714338094,94.7,-10.8,-0.5419301197997488,-11.6,-1.17810827812329,-21.6,-0.4059644521364117,-10.9,-0.8941161890113596,-0.3278293174584092,-0.6683808642452089,-1.2389517818092388,-0.5645955388480292,-0.1909750611095432,-0.7693856758820801,-90.9,38.3,-25.1,-20.9,-17.1,-7.6,-37.6
Allegany County,1983,82605,5,9,19,89,347,1412,67,1948,-11.0,-0.4671716002750546,6.3,4.3,-0.4644276525769408,93.7,-11.9,-0.7409473334426298,-11.8,-1.1583176168483413,3.3,-0.644271784039834,-12.7,0.22845232030139137,-1.153595317019011,-0.6589556501144385,-1.1821675933748983,-0.902105832663737,-0.44046049173682467,-0.6899804953556254,395.5,-50.5,4.6,10.2,-23.1,-10.9,20.7
Allegany County,1984,80835,2,15,6,67,361,1338,68,1857,-4.7,-0.483187684343257,4.8,-26.2,-0.4699747667256401,95.2,-3.2,-0.7793143746292437,-2.6,-1.30839679818337,-24.6,-0.6625516729229776,-1.1,-0.5962918906222624,-0.5807666506571519,-0.8059889905544568,-1.3229923806920627,-0.8311215248374174,-0.5051330446689565,-0.6728426866089087,-59.1,70.3,-67.7,-23.1,6.3,-3.2,3.7
Allegany County,1985,77655,2,7,12,70,396,1249,61,1795,-3.3,-0.48368818697038835,5.0,-1.1,-0.47570991864209194,95.0,-3.5,-0.7703683650257969,0.6,-1.2947907185568428,2.9,-0.6543777388695393,0.5,-0.5962918906222624,-1.294942650277132,-0.7296447560952165,-1.2821077650193375,-0.6615627819919072,-0.5610789869466601,-0.7042620026445562,-100.0,-51.4,108.2,8.8,14.2,-2.8,-6.6
Allegany County,1986,78947,1,11,12,97,432,1393,60,2006,11.8,-0.4676721029021859,6.0,36.0,-0.45888053842824145,94.0,10.5,-0.6258462098827868,9.9,-1.1352285120275678,33.7,-0.5125971372880834,8.7,-0.8712066275968137,-0.9304153171377673,-0.7324723203344476,-1.0958556269547008,-0.5616490204099555,-0.37447297007594327,-0.719114770225044,126.7,54.6,-1.6,36.3,7.3,9.7,-3.2
Allegany County,1987,75697,2,9,22,120,409,1390,59,2011,0.2,-0.45165601883398354,7.6,26.4,-0.4614190482929005,92.4,-1.4,-0.5529551316349828,4.6,-0.9340234557322548,31.9,-0.46295906503629464,2.8,-0.5733823292077164,-1.079201983725263,-0.601461843916739,-0.8937039161284488,-0.580131726976054,-0.28864137487211583,-0.7082608246854567,108.6,-14.7,91.2,29.0,-1.3,4.1,2.6
Allegany County,1988,76500,4,19,16,124,448,1439,81,2131,6.0,-0.4466509925626703,7.6,6.5,-0.4510769710665119,92.4,5.9,-0.4716850443924009,4.9,-0.8886698569771637,5.4,-0.37527504519032073,4.8,0.02226626757047803,-0.11952798423591497,-0.6787485997890563,-0.8732616082920863,-0.4587887403899303,-0.23520582744020643,-0.5483079430494332,97.9,108.9,-28.0,2.2,8.4,2.4,35.8
Allegany County,1989,76375,2,20,16,153,514,1505,70,2280,7.0,-0.4326369190029932,8.4,17.2,-0.43970068611748453,91.6,6.1,-0.3458739093354736,7.2,-0.7361168429827666,17.4,-0.25437512969082965,6.3,-0.5733823292077164,-0.015377317624668003,-0.6787485997890563,-0.6563460084729057,-0.22467445721935203,-0.12821518996468326,-0.6294269044505594,-49.9,5.4,0.2,23.6,14.9,4.8,-13.4
Allegany County,1990,74946,2,17,15,206,464,1620,66,2388,4.7,-0.40911329552782094,10.0,24.6,-0.4339655342010327,90.0,2.9,-0.21924377339935758,6.7,-0.45781066880379867,27.0,-0.15517329367864732,4.9,-0.5733823292077164,-0.2757539841527857,-0.6872312925067497,-0.23273596275272612,-0.3690538606849603,0.10023074100260687,-0.6499922749466196,-100.0,-13.4,-4.5,37.2,-8.0,9.7,-3.9
Allegany County,1991,76175,1,20,15,282,511,1580,60,2469,3.4,-0.369073085357315,12.9,33.6,-0.43387151531715645,87.1,2.9,-0.18465673627053805,1.7,-0.045917531018926476,31.5,-0.18853780631495407,-1.6,-0.8712066275968137,-0.007937984295293106,-0.6900588567459808,0.30841735302653844,-0.23056749409549945,-0.004249501627122006,-0.7031194820614417,131.3,15.7,-1.6,34.7,8.4,-4.0,-10.6
Allegany County,1992,76925,1,12,16,333,483,1749,97,2691,9.0,-0.34705096976353667,13.5,13.8,-0.41713615398718223,86.5,8.3,-0.022746562461673333,7.9,0.17301665933519494,12.7,-0.037097100852162015,7.2,-0.8712066275968137,-0.8039466505383959,-0.6796911212021334,0.664454214509853,-0.34548171318037135,0.23411846611164144,-0.4329133641548735,-1.0,-40.6,5.6,16.9,-6.4,9.6,60.1
Allegany County,1993,75274,1,15,21,343,384,1591,102,2457,-8.7,-0.33804192247517284,15.5,5.0,-0.44082891272399966,84.5,-10.8,-0.17022972078328896,-6.7,0.31402512091920526,7.3,-0.23646678326466014,-8.9,-0.8712066275968137,-0.4840553173752799,-0.6127721008736634,0.7939221641401493,-0.6610270513668028,0.042850287384449195,-0.3792148967484942,2.2,27.7,34.1,5.3,-18.8,-7.0,7.5
Allegany County,1994,75891,2,13,18,302,386,1638,75,2434,-0.9,-0.36056454069608246,13.8,-11.8,-0.4387604972787219,86.2,1.1,-0.20607675926470692,-1.7,0.05262346991258943,-12.6,-0.2316367313239921,0.2,-0.5733823292077164,-0.6923566505977738,-0.6523580002228991,0.46570955498966143,-0.6650450310550851,0.09640537742806324,-0.5888674237499963,98.4,-14.0,-15.0,-12.7,-0.3,2.1,-27.1
Allegany County,1995,74394,1,16,18,372,387,1487,71,2352,-3.4,-0.3245283515426271,17.3,21.5,-0.4532394053956659,82.7,-7.3,-0.23486779017157497,-1.4,0.4884303234046918,23.9,-0.3440654788044656,-5.5,-0.8712066275968137,-0.36502598410528314,-0.647645393157514,1.0454761189042776,-0.6339726547990356,-0.09438463085231119,-0.608290273662942,-49.0,25.6,2.0,25.7,2.3,-7.4,-3.4
